"SUPPLIER (Mandatory)

Note: If you have same product which you buy from different supplier please add in a new row . Supplier only can select from dropdown only. Do not add new supplier here","Product Name
If the same product has multiple packaging types, add a new row for each
Choose from drop down","Base UOM
(Automatic) ","Packaging UOM
Note: Should be for ordering puporse, make sure it is already in product tab","Packaging Unit
Do not modify","Packaging Conversion To Base Uom
Note : conversion must be the same as in product tab","UNIT PRICE","Branches","","","","","","","","","","","","","","","","","",""
"Ultra Green Supplies","Dome Lid (16oz) ","PC (Piece)","ROLL (Roll)","1","","0.36","Celsius Coffee IOI Mall","","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Straw milkshake","PC (Piece)","PKT (Packet)","1","","0.032","Celsius Coffee IOI Mall","","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Paperbag S","PC (Piece)","PKT (Packet)","1","","0.118","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Paperbag M ","PC (Piece)","PKT (Packet)","1","","0.256","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Paperbag L","PC (Piece)","PKT (Packet)","1","","0.296","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Paperbag Twisted Handle","PC (Piece)","PKT (Packet)","1","","0.88","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Cup Holder (2)","PC (Piece)","PKT (Packet)","1","","0.2","","All","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Cup Holder (4)","PC (Piece)","PKT (Packet)","1","","0.4","","All","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Drip leakage cover","PC (Piece)","PKT (Packet)","1","","0.028","","All","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Sandwich Box","PC (Piece)","PKT (Packet)","1","","0.62","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Cake Box","PC (Piece)","PCS (Pcs)","1","","0.55","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","White napkin","PCS (Pcs)","PKT (Packet)","1","","0.015","","All","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Thermal Roll (Receipt) 80x60x12mm","ROLL (Roll)","PKT (Packet)","1","","1.1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Thermal Roll (Credit Card) 57x25x8mm","ROLL (Roll)","PKT (Packet)","1","","2.1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Plastic Spoon","PKT (Packet)","PKT (Packet)","1","","0.1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Plastic Fork","PC (Piece)","PKT (Packet)","1","","0.1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Plastic Sampah","EACH (Each)","PKT (Packet)","1","","0.55","","All","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Gloves","EACH (Each)","BOX (Box)","1","","0.045","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Noodle box","PC (Piece)","PKT (Packet)","1","","0.32","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Stirrer","PKT (Packet)","PKT (Packet)","1","","0.018","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Sauce Container","PC (Piece)","PKT (Packet)","1","","0.13","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Cling Film","UNIT (Unit)","ROLL (Roll)","1","","36","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Aluminium Foil","UNIT (Unit)","ROLL (Roll)","1","","","Celsius Coffee IOI Mall","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Nonstick paper","UNIT (Unit)","ROLL (Roll)","1","","","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Sponge","EACH (Each)","PACK (Pack)","1","","1.16","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Plastik HD 6x9","PKT (Packet)","PACK (Pack)","1","","","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Unique Paper Sdn Bhd","Air fryer paper","PKT (Packet)","PACK (Pack)","1","","0.036","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Beard Brothers","Pull Lamb","G (Gram)","KG (Kilogram)","1","1000","129.16","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Kuala Lumpur Fried Chicken","Chicken Chop","G (Gram)","PKT (Packet)","1","1200","1.53","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"BGS Trading","Anchor Salt Butter","G (Gram)","PCS (Pcs)","1","250","13","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"BGS Trading","Anchor Cheese Slice","G (Gram)","PKT (Packet)","1","1040","43.68","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Feast Market","Black Truffle Oil","ML (Milliliter)","BOTTLE (Bottle)","1","250","98","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Lam Soon Edible Oils","White Truffle Oil","ML (Milliliter)","BOTTLE (Bottle)","1","200","33.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Lucky Frozen","Floridia Parmesan","G (Gram)","PKT (Packet)","1","1000","75","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Lucky Frozen","Red Cheddar","G (Gram)","PKT (Packet)","1","2000","99","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Lucky Frozen","Shredded Mozarella","G (Gram)","PKT (Packet)","1","2000","41.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Lucky Frozen","Block parmesan","G (Gram)","PKT (Packet)","1","250","25","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Lucky Frozen","Buffalo Meat","G (Gram)","PKT (Packet)","1","2000","34.1","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Shriyo Marketing","Strawberry Jem","G (Gram)","BOTTLE (Bottle)","1","284","14.05","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sin Tai Hing Oyster Sauce","Soy Sauce Gourmet","ML (Milliliter)","BOTTLE (Bottle)","1","180","4.2","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sing Long Food Products Sdn Bhd","Samyang Buldak Sauce","G (Gram)","BOTTLE (Bottle)","1","200","12","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Blancoz","Burnt Cheesecake","SLICE (Slice)","BOX (Box)","1","","9.16","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Blancoz","Pavlova","PCS (Pcs)","BOX (Box)","1","","4","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"JS Breadserie","Classic Croissant","PCS (Pcs)","PCS (Pcs)","1","","5.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"JS Breadserie","Almond Croissant","PCS (Pcs)","PCS (Pcs)","1","","8.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Pastry World Sdn Bhd","Salted Croissant","PCS (Pcs)","PCS (Pcs)","1","","6.09","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Pastry World Sdn Bhd","Red Velvet","PC (Piece)","BOX (Box)","1","","8.66","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"365EAT FOOD","Chocolate Mudslide","SLICE (Slice)","BOX (Box)","1","","10.41","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"365EAT FOOD","Almond Salted Crepe","SLICE (Slice)","BOX (Box)","1","","9.16","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Jiju Cakes To Share","Matcha Indulgence Batik","SLICE (Slice)","BOX (Box)","1","","7.91","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Jiju Cakes To Share","Chocolate Cakes Bar","PCS (Pcs)","BOX (Box)","1","","7.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","NYC Smores","PC (Piece)","PKT (Packet)","1","","9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
